Run Number,Average Heart Rate,,,Other Statistics,,,Configuration
,From Sensor,From Smartwatch,From Body (Pulse Count),Average Respiration Rate,Average Distance,Distance Std Dev,
1,57.1,58,58,16.4,0.307,0.025,0
2,86.2,58,58,16.4,0.428,0.127,0
3,100,66,66,16.4,0.416,0.065,0
4,98.2,62,62,16.9,0.333,0.071,0
5,89.2,64,64,16.5,0.256,0.058,0
6,54.5,62,62,16.5,0.308,0.056,0
7,53.1,68,68,16.4,0.292,0.035,0
8,96,62,62,16.6,0.524,0.035,0
9,63.6,64,64,16.6,0.519,0.221,0
10,86,64,64,16.4,0.366,0.025,0
11,69.4,66,66,16.9,0.341,0.053,0
12,62.9,64,64,16.6,0.443,0.013,0
13,65.4,66,66,16.7,0.365,0.034,0
14,67.7,58,58,16.9,0.342,0.051,0
15,70.6,64,64,16.4,0.366,0.064,0
16,78,68,68,16.5,0.453,0.235,0
17,103,64,64,16.6,0.716,0.047,0
18,57.1,56,56,13.6,0.421,0.017,0
19,52.3,62,62,16.4,0.512,0.044,0
20,81.8,68,68,16.6,0.38,0.017,0
21,67.7,66,66,16.4,0.26,0.03,0
22,74.4,64,64,16.4,0.32,0.04,0
23,109.1,62,62,16.7,0.337,0.162,0
24,90.8,62,62,16.9,0.37,0.027,0
25,60.7,76,76,16.4,0.587,0.155,0
26,80,62,62,16.9,0.606,0.101,0
27,133.3,62,62,14.7,0.207,0,0
28,92.3,60,60,16.5,0.345,0.039,0
29,100,74,74,16.7,0.416,0.06,0
30,75,70,70,16.9,0.275,0.031,0
31,90.3,62,62,16.5,0.5,0.069,0
32,57.1,62,62,16.8,0.362,0.024,0
33,75,62,62,16.8,0.414,0.069,0
34,76.7,64,64,16.7,0.409,0.054,0
35,59.9,72,72,16.6,0.597,0.087,0
36,85.7,66,66,16.5,0.643,0.073,0
37,76.2,62,62,16.6,0.364,0.097,0
38,50,65,65,17,0.631,0.132,0
39,55.2,63,63,15.6,1.116,0.043,0
40,70.6,62,62,16.5,0.399,0.037,0
41,103,72,72,16.7,0.476,0.123,0
42,85.7,62,62,16.2,0.382,0.021,0
43,87.3,64,64,12.7,0.326,0.076,0
44,92,62,62,16.6,0.686,0.058,0
45,97.9,70,70,15.8,0.286,0.012,0
46,86.1,68,68,16.7,0.391,0.083,0
47,133.3,70,70,14,1,0,0
48,84.1,68,68,17,0.313,0.125,0
49,100,62,62,14.9,0.357,0.034,0
50,50,60,60,14.9,0.278,0.025,0
51,72.1,66,66,16.9,0.404,0.165,0
52,56.1,60,60,16.5,0.391,0.087,0
53,67.2,62,62,16.7,0.429,0.04,0
54,76,58,58,16.9,0.754,0.121,0
55,78.6,56,56,16.5,0.453,0.029,0
56,113,62,62,17,0.518,0.082,0
57,57.1,60,60,17.2,0.481,0.056,0
58,89,60,60,16.5,0.362,0.065,0
59,109.1,65,65,16.6,0.965,0.145,0
60,75,62,62,16.8,0.316,0.058,0
61,67.6,64,64,16.7,0.371,0.094,0
62,69.9,62,62,16.9,0.279,0.085,0
63,63.7,60,60,16.8,0.504,0.14,0
64,63.2,55,55,17,0.394,0.045,0
65,65.2,59,59,16.4,0.399,0.054,0
66,109.1,69,69,17.3,0.426,0.067,0
67,61,64,64,16.1,0.793,0.302,1
68,110.3,68,68,16.4,0.647,0.162,1
69,133.3,66,66,15.6,1,0,1
70,73.4,72,72,16.5,0.379,0.116,1
71,68.8,66,66,16.4,0.518,0.343,1
72,109.1,65,65,16.7,0.383,0.041,1
73,73.2,66,66,16.9,0.352,0.078,1
74,65.2,66,66,16.3,0.305,0.031,1
75,53.1,64,64,14.8,0.269,0.027,1
76,108.7,62,62,16.9,0.258,0.04,1
77,59.2,70,70,15.7,0.236,0.033,1
78,68,69,69,16.5,0.452,0.023,1
79,106.4,64,64,16.4,0.297,0.109,1
80,92.3,66,66,16.5,0.484,0.06,1
81,91.8,74,74,16.6,0.379,0.072,1
82,55.3,64,64,16.8,0.385,0.063,1
83,76,66,66,16.5,0.356,0.064,1
84,93.6,62,62,16.3,0.388,0.149,1
85,55.7,70,70,16.5,0.411,0.115,1
86,86.5,66,66,16.6,0.304,0.12,1
87,96.5,63,63,16.5,0.376,0.097,1
88,88,76,76,16.9,0.268,0.044,1
89,79.9,72,72,16.5,0.368,0.014,1
90,87.2,75,75,16.6,0.677,0.09,1
91,89.5,64,64,16.7,0.639,0.15,1
92,52.6,68,68,16.7,0.431,0.088,1
93,63.2,72,72,17.2,0.391,0.069,1
94,63.2,76,76,16.7,0.611,0.096,1
95,114.2,64,64,16.6,0.337,0.059,1
96,52.6,66,66,16.5,0.527,0.024,1
97,74.5,68,68,16.4,0.303,0.061,1
98,74.5,66,66,16.5,0.372,0.116,1
99,54.5,69,69,17.1,0.626,0.099,1
100,95.1,64,64,16.5,0.475,0.038,1
