epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.0,29.95,Normal,44.3001,45.7292,188.6719,0.0,105.38
1,15.0,44.95,Normal,66.3519,39.4377,229.6875,0.0,90.24
2,30.0,59.95,Normal,70.5436,37.4122,235.5469,0.0,85.1
3,45.0,74.95,Normal,71.3453,36.9489,235.5316,0.0,81.38
4,60.0,89.95,Normal,70.2679,37.0209,215.6097,0.0,81.16
5,75.0,104.95,Normal,69.1411,38.9841,217.9512,0.0,81.07
6,90.0,119.95,Normal,69.9304,37.9659,217.9512,0.0,78.21
7,105.0,134.95,Normal,70.2555,34.3909,195.683,0.0,75.53
8,120.0,149.95,Normal,69.8876,33.4818,215.6198,0.0,75.3
9,135.0,164.95,Normal,68.9092,33.5459,215.6214,0.0,75.58
10,150.0,179.95,Normal,67.4597,33.2565,119.5307,0.0,75.47
11,165.0,194.95,Normal,68.2825,33.3315,119.5307,0.0,74.67
12,180.0,209.95,Normal,68.2011,33.2104,119.5246,0.0,72.91
13,195.0,224.95,Normal,66.7895,33.2614,119.5257,0.0,71.95
14,210.0,239.95,Normal,67.3352,33.7516,119.531,0.0,71.84
15,225.0,254.95,Normal,67.4968,33.5863,118.3592,0.0,70.82
16,240.0,269.95,Normal,68.4636,34.156,118.3571,0.0,69.89
17,255.0,284.95,Normal,68.7087,34.5063,118.3519,0.0,69.99
18,270.0,299.95,Normal,67.1008,33.4873,119.5294,0.0,70.36
19,285.0,314.95,Normal,68.5209,33.154,119.5294,0.0,68.94
20,300.0,329.95,Normal,68.2757,32.86,119.5285,0.0,68.23
21,315.0,344.95,Normal,67.3376,33.0521,118.3567,0.0,68.62
22,330.0,359.95,Normal,67.6463,32.4202,118.3584,0.0,68.09
23,345.0,374.95,Normal,67.3013,31.7112,118.3584,0.0,68.22
24,360.0,389.95,Normal,66.0328,33.0454,118.3574,0.0,68.86
25,375.0,404.95,Normal,65.8775,33.5198,118.3524,0.0,69.84
26,390.0,419.95,Normal,nan,nan,nan,0.0,70.24
27,405.0,434.95,Normal,nan,nan,nan,0.0,69.63
28,420.0,449.95,Normal,nan,nan,nan,0.0,
29,435.0,464.95,Normal,nan,nan,nan,0.0,
30,450.0,479.95,Normal,nan,nan,nan,0.0,
31,465.0,487.85,Normal,nan,nan,nan,0.0,
