epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
0,0.0,29.6,Wake,0.58,0.58,0.14,0.14,0.14
1,30.0,59.6,Wake,0.58,0.58,0.14,0.14,0.14
2,60.0,89.6,Wake,0.58,0.58,0.14,0.14,0.14
3,90.0,119.6,Wake,0.58,0.58,0.14,0.14,0.14
4,120.0,149.6,Wake,0.58,0.58,0.14,0.14,0.14
5,150.0,179.6,Wake,0.58,0.58,0.14,0.14,0.14
6,180.0,209.6,Wake,0.58,0.58,0.14,0.14,0.14
7,210.0,239.6,Wake,0.58,0.58,0.14,0.14,0.14
8,240.0,269.6,Wake,0.58,0.58,0.14,0.14,0.14
9,270.0,299.6,Wake,0.58,0.58,0.14,0.14,0.14
10,300.0,329.6,Wake,0.58,0.58,0.14,0.14,0.14
11,330.0,359.6,Wake,0.58,0.58,0.14,0.14,0.14
12,360.0,389.6,Wake,0.58,0.58,0.14,0.14,0.14
13,390.0,419.6,Wake,0.58,0.58,0.14,0.14,0.14
14,420.0,449.6,Wake,0.58,0.58,0.14,0.14,0.14
15,450.0,479.6,Wake,0.58,0.58,0.14,0.14,0.14
16,480.0,509.6,Wake,0.58,0.58,0.14,0.14,0.14
17,510.0,539.6,Wake,0.58,0.58,0.14,0.14,0.14
18,540.0,569.6,Wake,0.58,0.58,0.14,0.14,0.14
19,570.0,599.6,Wake,0.58,0.58,0.14,0.14,0.14
20,600.0,629.6,Wake,0.58,0.58,0.14,0.14,0.14
21,630.0,659.6,Wake,0.58,0.58,0.14,0.14,0.14
22,660.0,689.6,Wake,0.58,0.58,0.14,0.14,0.14
23,690.0,719.6,Wake,0.58,0.58,0.14,0.14,0.14
24,720.0,749.6,Wake,0.58,0.58,0.14,0.14,0.14
25,750.0,779.6,Wake,0.58,0.58,0.14,0.14,0.14
26,780.0,809.6,Wake,0.58,0.58,0.14,0.14,0.14
27,810.0,839.6,Wake,0.58,0.58,0.14,0.14,0.14
28,840.0,869.6,Wake,0.58,0.58,0.14,0.14,0.14
29,870.0,899.6,Wake,0.58,0.58,0.14,0.14,0.14
30,900.0,929.6,Wake,0.58,0.58,0.14,0.14,0.14
