Run Number,Average Heart Rate,,Other Statistics,,,Configuration
,From Sensor,From Body (Pulse Count),Average Respiration Rate,Average Distance,Distance Std Dev,
1,108.3,90,11.2,0.41,0.14,0
2,75,94,13,0.665,0.182,0
3,70.6,114,12.5,0.382,0.179,0
4,73.1,92,12.3,0.565,0.195,0
5,63.6,104,12.8,0.523,0.176,0
6,60.4,90,13.1,0.592,0.147,0
7,54.5,80,13.4,0.896,0.244,0
8,92.3,88,13.3,0.621,0.314,0
9,73.8,88,14.2,0.492,0.108,0
10,79,94,14,0.604,0.119,0
11,107.3,90,12.5,0.337,0.106,0
12,53.8,92,14.8,0.32,0.015,0
13,50,84,10,0.712,0.089,0
14,54.5,76,13.8,0.343,0.039,0
15,54.5,72,13.5,0.412,0.037,0
16,70.6,86,12.7,0.66,0.051,0
17,50,88,14.6,0.678,0.047,0
18,109.1,76,14.1,0.671,0.068,0
19,100,84,13.9,0.238,0.002,0
20,50,82,14.6,0.432,0.056,0
21,60,70,14.2,0.519,0.012,0
22,63.2,78,13.4,0.612,0.005,0
23,52.2,70,14.4,0.369,0.001,0
24,66.7,66,13.9,0.503,0.013,0
25,57.1,88,12.5,0.219,0.022,0
26,50,90,13.1,0.313,0.012,0
27,77.1,92,12.4,0.326,0.039,0
28,100,98,14.5,0.575,0.019,0
29,50,100,14.4,0.536,0.054,0
30,80,86,13.7,0.55,0.112,0
31,66.7,80,12.7,0.771,0.046,0
32,50,106,14.1,0.994,0.008,1
33,52.2,112,13.5,0.587,0.018,1
34,57,104,13.3,0.353,0.058,1
35,92.3,110,15.3,0.382,0.028,1
36,52.2,98,15.2,0.618,0.018,1
37,50,114,13.6,0.317,0.015,1
38,54.5,112,13.2,0.444,0.015,1
39,54.5,112,14,0.356,0.046,1
40,55.1,104,13.8,0.302,0.028,1
41,50,104,14.2,0.312,0.008,1
42,60.1,106,14.6,0.298,0.011,1
43,52.2,108,12.1,0.319,0.008,1
44,52.2,108,14.5,0.389,0.008,1
45,66.7,108,15.1,0.439,0.016,1
46,51.2,104,14.2,0.544,0.062,1
47,50,100,14,0.56,0.037,1
48,61.9,108,14.3,0.856,0.093,1
49,55.2,108,14.1,0.289,0.023,1
50,56.4,100,13.9,0.308,0.017,1
51,60.2,98,13.8,0.254,0.014,1
52,52.2,104,14.6,0.422,0.122,0
53,57.1,100,15.4,0.516,0.06,0
54,63,108,15.6,0.437,0.002,0
55,53.3,108,12.6,0.293,0.022,0
56,60,106,15.6,0.497,0.02,0
57,50,90,14.1,0.486,0.042,0
58,50,92,14.7,0.434,0.028,0
59,85.7,100,14.2,0.412,0.024,0
60,58.2,108,12.6,0.366,0.089,0
61,51.7,104,14.7,0.346,0.025,0
62,61.9,96,13.4,0.28,0.033,0
63,58.9,84,15.6,0.604,0.046,0
64,92.8,96,14.2,0.316,0.011,0
65,82,100,14.1,0.447,0.052,0
66,80,88,14.7,0.747,0.015,0
67,80,90,14.2,0.831,0.024,0
68,50,76,12.6,0.363,0.029,0
69,80,84,13.7,0.525,0.038,0
70,51.5,84,13.5,0.619,0.04,0
71,68.9,80,14.1,0.557,0.116,0
72,75,80,13.6,0.515,0.006,0
73,57.1,84,14.4,0.486,0.064,1
74,75,82,13.5,0.373,0.038,1
75,57.1,88,14.8,0.743,0,1
76,53.1,74,12.7,0.801,0.261,1
77,66.7,82,11.4,0.393,0.018,1
78,63.2,88,14.4,0.366,0,1
79,50,88,14.3,0.696,0,1
80,66.7,84,11.3,1.485,0,1
81,70.6,82,14.5,1.019,0,1
82,60,84,14.1,0.513,0.045,1
83,69.9,80,11.8,0.553,0.024,1
84,60.6,84,14,0.418,0.042,1
85,54.5,80,12.6,0.574,0,1
86,51.2,82,13.1,0.614,0.126,1
87,50,80,14.4,0.534,0,1
88,61.8,90,14.9,0.673,0.061,1
89,50,86,13.5,0.247,0,1
90,70.6,90,13.8,0.61,0,1
91,63.2,78,15.3,0.645,0.17,1
92,57.1,84,15.5,0.331,0.048,1
93,64.8,82,14.6,0.329,0.014,1
94,84.8,88,16.2,0.816,0.127,1
95,72.9,88,15.1,0.281,0.036,1
96,54.5,80,14.5,0.946,0.17,1
97,54,84,14.5,0.445,0.009,1
98,50.1,88,12.8,0.473,0.028,1
99,50,82,13.4,0.442,0.049,1
100,50,84,14.7,0.302,0.032,1
101,50,94,13.1,0.914,0.001,1
102,60.1,96,11.3,0.798,0.039,1
103,63.3,98,15.1,0.361,0.022,1
104,66.4,88,13.7,0.28,0.018,1
105,50,92,13,0.362,0.067,1
106,52.3,94,13.4,0.931,0.072,1
107,59.4,92,13.2,0.29,0.014,1
108,82.3,94,12.9,0.379,0.011,1
109,82.3,96,13.5,0.326,0.008,1
110,88.2,96,12.7,1.21,0.298,1
111,60.2,92,14.2,0.735,0.418,1
112,109.1,94,15.7,0.75,0.137,1
113,50,98,14.4,0.359,0.002,1
114,75.9,86,15.9,0.52,0.473,1
115,61.5,92,14.3,0.331,0,0
116,75.3,86,15.1,1.001,0.176,0
117,75,88,14.1,0.336,0.136,0
118,75,74,14.3,0.502,0.053,0
119,79.5,82,14.2,0.544,0.038,0
120,70.6,80,13,0.502,0.051,0
121,64.6,88,13.5,0.408,0.03,0
122,92.3,92,15.4,0.559,0.063,0
123,53.3,80,14,0.39,0.021,0
124,66.4,82,12.7,0.25,0.03,0
125,66.7,90,10.7,0.828,0.001,0
